entity,fractal-value,total-revs
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiClosedMoM.java,0.44,6
/trunk/src/main/java/jmt/gui/common/distributions/Erlang.java,0.44,3
/trunk/src/test/java/jmt/gui/JSIMwizGuiTest.java,0.44,3
/trunk/src/jmt/gui/exact/link/SolverDispatcher.java,0.44,3
/trunk/src/jmt/gui/jwat/workloadAnalysis/tables/JWatBivariateStatsTable.java,0.44,3
/trunk/src/main/java/jmt/framework/gui/wizard/WizardPanel.java,0.44,3
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/SmallQQPlot.java,0.44,3
/trunk/src/jmt/engine/jwat/workloadAnalysis/clustering/kMean/MainKMean.java,0.44,3
/trunk/src/jmt/engine/jwat/input/Parameter.java,0.44,3
/trunk/src/main/java/jmt/gui/exact/table/RowHeader.java,0.44,3
/trunk/src/main/java/jmt/jmarkov/Graphics/QueueDrawer.java,0.44,3
/trunk/src/main/java/jmt/gui/common/startScreen/StartScreen.java,0.44,3
/trunk/src/main/java/jmt/framework/data/CircularList.java,0.44,3
/trunk/src/main/java/jmt/engine/math/DoubleArrayList.java,0.44,3
/trunk/src/main/java/jmt/engine/QueueNet/GlobalJobInfoList.java,0.44,3
/trunk/src/jmt/engine/jwat/trafficAnalysis/TrafficAnalysisSession.java,0.44,3
/trunk/src/jmt/gui/jwat/workloadAnalysis/tables/JWatBivariateStatsTableModel.java,0.44,3
/trunk/src/jmt/engine/jwat/workloadAnalysis/utils/SteppedComboBoxUI.java,0.44,3
/trunk/src/main/java/jmt/engine/QueueNet/JobInfoList.java,0.44,3
/trunk/src/jmt/gui/jwat/workloadAnalysis/tables/JWatUnivariateStatsTable.java,0.44,3
/trunk/src/jmt/engine/jwat/input/PositionalMapping.java,0.44,3
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiMixed.java,0.44,3
/trunk/src/main/java/jmt/gui/common/xml/GuiXMLWriter.java,0.44,3
/trunk/src/main/java/jmt/gui/common/panels/InputSectionPanel.java,0.44,3
/trunk/src/main/java/jmt/framework/gui/controller/Manager.java,0.44,3
/trunk/src/main/java/jmt/jmva/analytical/solvers/SolverMultiClosedCoMoM.java,0.44,3
/trunk/src/main/java/jmt/engine/dataAnalysis/NewDynamicDataAnalyzer.java,0.44,3
/trunk/src/main/java/jmt/gui/jwat/JWatMainPanel.java,0.44,3
/trunk/src/jmt/engine/jwat/input/DataMapping.java,0.44,3
/trunk/src/main/java/jmt/engine/dataAnalysis/DynamicDataAnalyzerImpl.java,0.44,3
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/DispMatrix.java,0.44,3
/trunk/src/main/java/jmt/gui/jaba/panels/SectorsTextualPanel.java,0.44,3
/trunk/src/main/java/jmt/gui/common/editors/ImagedComboBoxCellEditorFactory.java,0.44,3
/trunk/src/main/java/jmt/gui/common/animation/JobAnimation.java,0.44,3
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/chart/KMeanScatter.java,0.44,3
/trunk/src/main/java/jmt/gui/jsim/panels/AllBlockingRegionsPanel.java,0.44,3
/trunk/src/main/java/jmt/jmarkov/CustomDialogMethod.java,0.44,3
/trunk/src/main/java/jmt/framework/gui/graph/WhatIfPlot.java,0.44,3
/trunk/src/main/java/jmt/engine/math/DistributionDensity.java,0.44,3
